#N	CoF	       SM-CoF
#576 cores, relative overheads in % (compared to ScaLAPACK QR)
10000	26.00474946    21.15670698
15000	17.20979061    15.99927476
20000	26.44316956    15.39432629
25000	19.2551251     9.513990156
30000	23.57280966    9.348758124
35000	24.39040999    12.41453943
40000	16.36682852    12.2749164 
45000	23.07478549    12.01892583
50000	19.5034349     10.0174098 
55000	16.50282527    11.09276181
60000	18.07926441    11.1585321 
65000	18.03096292    10.76756047
70000	11.65759972    9.878284255
75000	16.6362868     10.79338572
80000	14.95014104    10.30615337
85000	15.34485642    9.45354494 
90000	12.09094515    10.1710031 
95000	11.09163473    11.04068084
100000	10.31607421    9.266746458
