1: smoky54
0: smoky54
Now starting the main loop
  0:       1 bytes  13995 times -->      1.54 Mbps in     4.9649 usec
  1:       2 bytes  20141 times -->      3.07 Mbps in     4.9671 usec
  2:       3 bytes  20132 times -->      4.61 Mbps in     4.9661 usec
  3:       4 bytes  13424 times -->      6.14 Mbps in     4.9688 usec
  4:       6 bytes  15094 times -->      9.22 Mbps in     4.9625 usec
  5:       8 bytes  10075 times -->     12.28 Mbps in     4.9705 usec
  6:      12 bytes  12574 times -->     18.45 Mbps in     4.9628 usec
  7:      13 bytes   8395 times -->     19.98 Mbps in     4.9644 usec
  8:      16 bytes   9296 times -->     24.60 Mbps in     4.9626 usec
  9:      19 bytes  11334 times -->     29.22 Mbps in     4.9614 usec
 10:      21 bytes  12729 times -->     32.29 Mbps in     4.9622 usec
 11:      24 bytes  13434 times -->     36.91 Mbps in     4.9611 usec
 12:      27 bytes  14277 times -->     41.51 Mbps in     4.9623 usec
 13:      29 bytes   8956 times -->     44.60 Mbps in     4.9607 usec
 14:      32 bytes   9731 times -->     53.06 Mbps in     4.6008 usec
 15:      35 bytes  11546 times -->     53.79 Mbps in     4.9640 usec
 16:      45 bytes  11511 times -->     76.65 Mbps in     4.4789 usec
 17:      48 bytes  14884 times -->     81.67 Mbps in     4.4839 usec
 18:      51 bytes  15332 times -->     78.55 Mbps in     4.9537 usec
 19:      61 bytes   7916 times -->     93.92 Mbps in     4.9552 usec
 20:      64 bytes   9925 times -->    108.54 Mbps in     4.4985 usec
 21:      67 bytes  11462 times -->    114.12 Mbps in     4.4794 usec
 22:      93 bytes  11995 times -->    158.50 Mbps in     4.4764 usec
 23:      96 bytes  14892 times -->    162.73 Mbps in     4.5009 usec
 24:      99 bytes  15043 times -->    168.22 Mbps in     4.4899 usec
 25:     125 bytes   8098 times -->    171.79 Mbps in     5.5514 usec
 26:     128 bytes   8934 times -->    182.53 Mbps in     5.3502 usec
 27:     131 bytes   9491 times -->    179.85 Mbps in     5.5570 usec
 28:     189 bytes   9341 times -->    230.79 Mbps in     6.2480 usec
 29:     192 bytes  10670 times -->    230.65 Mbps in     6.3510 usec
 30:     195 bytes  10579 times -->    233.89 Mbps in     6.3609 usec
 31:     253 bytes   5482 times -->    300.48 Mbps in     6.4238 usec
 32:     256 bytes   7752 times -->    323.99 Mbps in     6.0284 usec
 33:     259 bytes   8358 times -->    307.90 Mbps in     6.4178 usec
 34:     381 bytes   7941 times -->    452.53 Mbps in     6.4234 usec
 35:     384 bytes  10378 times -->    455.40 Mbps in     6.4333 usec
 36:     387 bytes  10403 times -->    444.44 Mbps in     6.6433 usec
 37:     509 bytes   5134 times -->    586.85 Mbps in     6.6173 usec
 38:     512 bytes   7541 times -->    675.07 Mbps in     5.7864 usec
 39:     515 bytes   8674 times -->    589.92 Mbps in     6.6605 usec
 40:     765 bytes   7579 times -->    879.29 Mbps in     6.6378 usec
 41:     768 bytes  10043 times -->    872.23 Mbps in     6.7177 usec
 42:     771 bytes   9943 times -->    857.57 Mbps in     6.8593 usec
 43:    1021 bytes   4916 times -->   1072.31 Mbps in     7.2643 usec
 44:    1024 bytes   6876 times -->   1130.41 Mbps in     6.9112 usec
 45:    1027 bytes   7248 times -->   1124.45 Mbps in     6.9682 usec
 46:    1533 bytes   7210 times -->   1476.34 Mbps in     7.9222 usec
 47:    1536 bytes   8415 times -->   1475.88 Mbps in     7.9402 usec
 48:    1539 bytes   8404 times -->   1477.45 Mbps in     7.9472 usec
 49:    2045 bytes   4218 times -->   1737.80 Mbps in     8.9781 usec
 50:    2048 bytes   5566 times -->   1737.72 Mbps in     8.9916 usec
 51:    2051 bytes   5566 times -->   1738.07 Mbps in     9.0030 usec
 52:    3069 bytes   5567 times -->   2271.90 Mbps in    10.3062 usec
 53:    3072 bytes   6468 times -->   2274.92 Mbps in    10.3026 usec
 54:    3075 bytes   6474 times -->   2279.34 Mbps in    10.2926 usec
 55:    4093 bytes   3248 times -->   2671.32 Mbps in    11.6898 usec
 56:    4096 bytes   4276 times -->   2672.96 Mbps in    11.6912 usec
 57:    4099 bytes   4278 times -->   2672.74 Mbps in    11.7007 usec
 58:    6141 bytes   4278 times -->   3150.03 Mbps in    14.8735 usec
 59:    6144 bytes   4482 times -->   3151.30 Mbps in    14.8748 usec
 60:    6147 bytes   4482 times -->   3151.61 Mbps in    14.8806 usec
