#NM	ScaLAPACK QR	FT-QR (no failure)	FT-QR (with failure)	CC with error at T/2
10000	0.333754364	0.306950197	0.246962378	0.206021213
15000	0.619694213	0.562166144	0.513046136	0.382527292
20000	1.009874267	0.853637297	0.742831502	0.623379177
25000	1.30344576	1.174359681	1.052465648	0.804596148
30000	1.587220267	1.423084253	1.213067854	0.979765597
35000	1.81676146	1.635857087	1.373645892	1.121457692
40000	1.987064983	1.83213619	1.661845465	1.226583323
45000	2.230119844	2.027933067	1.715524474	1.376617188
50000	2.411366359	2.197380484	1.941067091	1.488497753
55000	2.585896427	2.346070118	2.159150458	1.596232362
60000	2.665526044	2.382335774	2.183618542	1.645386447
65000	2.791614482	2.54052883	2.28825951	1.723218816
70000	2.842843019	2.59541054	2.51143576	1.75484137
75000	2.963166497	2.758186928	2.47020562	1.829115122
80000	3.056062129	2.773213981	2.59917653	1.886458104
85000	3.148920608	2.87344441	2.665723262	1.943778153
90000	3.241482006	2.913518428	2.849556194	2.000914818
95000	3.283162701	2.995431772	2.919006287	2.026643643
100000	3.187321559	2.96670529	2.858515102	1.967482444
